都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
島根県,94,300,283,1732,22619
岡山県,125,871,345,1381,23272
広島県,208,2503,550,940,29550
山口県,147,2235,333,1381,29921
徳島県,25,702,188,958,11807
香川県,65,1370,268,1516,24508
愛媛県,103,1843,387,677,23083
福岡県,339,8169,807,4662,146613
佐賀県,59,808,254,2569,30834
熊本県,219,3871,522,1786,41612
大分県,138,1099,701,1202,33507
宮崎県,94,1915,209,914,22111
